"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"pheromone bomb"
"03/29/2023 18:42:16:099 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"118","pheromone bomb","1","195","100","420000","477","477"
"125","pheromone bomb","1","210","100","240000","339","339"
"121","pheromone bomb","1","210","100","0","438","438"
"124","pheromone bomb","1","210","100","180000","377","377"
"129","pheromone bomb","1","210","100","480000","323","323"
"126","pheromone bomb","1","210","100","300000","471","471"
"134","pheromone bomb","1","225","100","180000","325","325"
"130","pheromone bomb","1","210","100","540000","559","559"
"136","pheromone bomb","1","225","100","300000","338","338"
"133","pheromone bomb","1","225","100","120000","382","382"
"132","pheromone bomb","1","225","100","60000","456","456"
"135","pheromone bomb","1","225","100","240000","391","391"
"137","pheromone bomb","1","225","100","360000","329","329"
"128","pheromone bomb","1","210","100","420000","385","385"
"138","pheromone bomb","1","225","100","420000","424","424"
"131","pheromone bomb","1","225","100","0","442","442"
"139","pheromone bomb","1","225","100","480000","319","319"
"140","pheromone bomb","1","225","100","540000","309","309"
"144","pheromone bomb","1","240","100","180000","264","264"
"143","pheromone bomb","1","240","100","120000","301","301"
"149","pheromone bomb","1","240","100","480000","235","235"
"145","pheromone bomb","1","240","100","240000","310","310"
"146","pheromone bomb","1","240","100","300000","351","351"
"141","pheromone bomb","1","240","100","0","650","650"
"142","pheromone bomb","1","240","100","60000","493","493"
"152","pheromone bomb","1","255","100","60000","316","316"
"147","pheromone bomb","1","240","100","360000","483","483"
"148","pheromone bomb","1","240","100","420000","373","373"
"154","pheromone bomb","1","255","100","180000","272","272"
"150","pheromone bomb","1","240","100","540000","529","529"
"151","pheromone bomb","1","255","100","0","458","458"
"156","pheromone bomb","1","255","100","300000","350","350"
"153","pheromone bomb","1","255","100","120000","458","458"
"157","pheromone bomb","1","255","100","360000","538","538"
"158","pheromone bomb","1","255","100","420000","483","483"
"155","pheromone bomb","1","255","100","240000","546","546"
"159","pheromone bomb","1","255","100","480000","482","482"
"162","pheromone bomb","1","270","100","60000","289","289"
"160","pheromone bomb","1","255","100","540000","510","510"
"166","pheromone bomb","1","270","100","300000","287","287"
"164","pheromone bomb","1","270","100","180000","366","366"
"167","pheromone bomb","1","270","100","360000","339","339"
"161","pheromone bomb","1","270","100","0","509","509"
"163","pheromone bomb","1","270","100","120000","517","517"
"169","pheromone bomb","1","270","100","480000","344","344"
"170","pheromone bomb","1","270","100","540000","329","329"
"165","pheromone bomb","1","270","100","240000","529","529"
"171","pheromone bomb","1","285","100","0","428","428"
"168","pheromone bomb","1","270","100","420000","488","488"
"174","pheromone bomb","1","285","100","180000","422","422"
"173","pheromone bomb","1","285","100","120000","475","475"
"175","pheromone bomb","1","285","100","240000","321","321"
"179","pheromone bomb","1","285","100","480000","300","300"
"176","pheromone bomb","1","285","100","300000","471","471"
"184","pheromone bomb","1","300","100","180000","275","275"
"177","pheromone bomb","1","285","100","360000","473","473"
"180","pheromone bomb","1","285","100","540000","429","429"
"178","pheromone bomb","1","285","100","420000","468","468"
"182","pheromone bomb","1","300","100","60000","476","476"
"183","pheromone bomb","1","300","100","120000","386","386"
"181","pheromone bomb","1","300","100","0","447","447"
"192","pheromone bomb","3","30","100","60000","104","104"
"187","pheromone bomb","1","300","100","360000","295","295"
"186","pheromone bomb","1","300","100","300000","401","401"
"193","pheromone bomb","3","30","100","120000","217","217"
"191","pheromone bomb","3","30","100","0","259","259"
"197","pheromone bomb","3","30","100","360000","208","208"
"195","pheromone bomb","3","30","100","240000","216","216"
"172","pheromone bomb","1","285","100","60000","584","584"
"185","pheromone bomb","1","300","100","240000","605","605"
"196","pheromone bomb","3","30","100","300000","260","260"
"189","pheromone bomb","1","300","100","480000","313","313"
"194","pheromone bomb","3","30","100","180000","261","261"
"199","pheromone bomb","3","30","100","480000","231","231"
"200","pheromone bomb","3","30","100","540000","234","234"
"198","pheromone bomb","3","30","100","420000","280","280"
"201","pheromone bomb","3","45","100","0","281","281"
"202","pheromone bomb","3","45","100","60000","260","260"
"204","pheromone bomb","3","45","100","180000","226","226"
"188","pheromone bomb","1","300","100","420000","498","498"
"208","pheromone bomb","3","45","100","420000","221","221"
"190","pheromone bomb","1","300","100","540000","471","471"
"205","pheromone bomb","3","45","100","240000","267","267"
"210","pheromone bomb","3","45","100","540000","196","196"
"209","pheromone bomb","3","45","100","480000","304","304"
"206","pheromone bomb","3","45","100","300000","316","316"
"215","pheromone bomb","3","60","100","240000","188","188"
"207","pheromone bomb","3","45","100","360000","327","327"
"203","pheromone bomb","3","45","100","120000","301","301"
"211","pheromone bomb","3","60","100","0","348","348"
"212","pheromone bomb","3","60","100","60000","237","237"
"213","pheromone bomb","3","60","100","120000","261","261"
"214","pheromone bomb","3","60","100","180000","294","294"
"216","pheromone bomb","3","60","100","300000","293","293"
"219","pheromone bomb","3","60","100","480000","273","273"
"218","pheromone bomb","3","60","100","420000","267","267"
"221","pheromone bomb","3","75","100","0","311","311"
"226","pheromone bomb","3","75","100","300000","240","240"
"217","pheromone bomb","3","60","100","360000","368","368"
"220","pheromone bomb","3","60","100","540000","325","325"
"224","pheromone bomb","3","75","100","180000","303","303"
"225","pheromone bomb","3","75","100","240000","278","278"
"222","pheromone bomb","3","75","100","60000","345","345"
"227","pheromone bomb","3","75","100","360000","287","287"
"223","pheromone bomb","3","75","100","120000","302","302"
"230","pheromone bomb","3","75","100","540000","272","272"
"232","pheromone bomb","3","90","100","60000","265","265"
"235","pheromone bomb","3","90","100","240000","302","302"
"229","pheromone bomb","3","75","100","480000","403","403"
"231","pheromone bomb","3","90","100","0","310","310"
"228","pheromone bomb","3","75","100","420000","405","405"
"237","pheromone bomb","3","90","100","360000","296","296"
"238","pheromone bomb","3","90","100","420000","264","264"
"233","pheromone bomb","3","90","100","120000","442","442"
"234","pheromone bomb","3","90","100","180000","508","508"
"240","pheromone bomb","3","90","100","540000","236","236"
"236","pheromone bomb","3","90","100","300000","386","386"
"244","pheromone bomb","3","105","100","180000","311","311"
"243","pheromone bomb","3","105","100","120000","301","301"
"242","pheromone bomb","3","105","100","60000","299","299"
"241","pheromone bomb","3","105","100","0","336","336"
"245","pheromone bomb","3","105","100","240000","252","252"
"239","pheromone bomb","3","90","100","480000","327","327"
"248","pheromone bomb","3","105","100","420000","229","229"
"246","pheromone bomb","3","105","100","300000","337","337"
"251","pheromone bomb","3","120","100","0","245","245"
"247","pheromone bomb","3","105","100","360000","271","271"
"255","pheromone bomb","3","120","100","240000","254","254"
"249","pheromone bomb","3","105","100","480000","425","425"
"252","pheromone bomb","3","120","100","60000","417","417"
"254","pheromone bomb","3","120","100","180000","405","405"
"250","pheromone bomb","3","105","100","540000","377","377"
"256","pheromone bomb","3","120","100","300000","432","432"
"253","pheromone bomb","3","120","100","120000","433","433"
"258","pheromone bomb","3","120","100","420000","330","330"
"259","pheromone bomb","3","120","100","480000","291","291"
"260","pheromone bomb","3","120","100","540000","316","316"
"261","pheromone bomb","3","135","100","0","366","366"
"264","pheromone bomb","3","135","100","180000","344","344"
"266","pheromone bomb","3","135","100","300000","214","214"
"262","pheromone bomb","3","135","100","60000","402","402"
"263","pheromone bomb","3","135","100","120000","461","461"
"257","pheromone bomb","3","120","100","360000","359","359"
"265","pheromone bomb","3","135","100","240000","451","451"
"269","pheromone bomb","3","135","100","480000","229","229"
"270","pheromone bomb","3","135","100","540000","222","222"
"267","pheromone bomb","3","135","100","360000","416","416"
"271","pheromone bomb","3","150","100","0","389","389"
"275","pheromone bomb","3","150","100","240000","350","350"
"268","pheromone bomb","3","135","100","420000","445","445"
"274","pheromone bomb","3","150","100","180000","435","435"
"278","pheromone bomb","3","150","100","420000","404","404"
"272","pheromone bomb","3","150","100","60000","456","456"
"276","pheromone bomb","3","150","100","300000","433","433"
"273","pheromone bomb","3","150","100","120000","519","519"
"279","pheromone bomb","3","150","100","480000","490","490"
"280","pheromone bomb","3","150","100","540000","424","424"
"282","pheromone bomb","3","165","100","60000","366","366"
"277","pheromone bomb","3","150","100","360000","443","443"
"284","pheromone bomb","3","165","100","180000","406","406"
"287","pheromone bomb","3","165","100","360000","246","246"
"286","pheromone bomb","3","165","100","300000","384","384"
"283","pheromone bomb","3","165","100","120000","522","522"
"285","pheromone bomb","3","165","100","240000","355","355"
"289","pheromone bomb","3","165","100","480000","407","407"
"288","pheromone bomb","3","165","100","420000","509","509"
"281","pheromone bomb","3","165","100","0","540","540"
"291","pheromone bomb","3","180","100","0","385","385"
"290","pheromone bomb","3","165","100","540000","404","404"
"296","pheromone bomb","3","180","100","300000","376","376"
"292","pheromone bomb","3","180","100","60000","447","447"
"295","pheromone bomb","3","180","100","240000","381","381"
"297","pheromone bomb","3","180","100","360000","356","356"
"298","pheromone bomb","3","180","100","420000","367","367"
"294","pheromone bomb","3","180","100","180000","468","468"
"302","pheromone bomb","3","195","100","60000","330","330"
"299","pheromone bomb","3","180","100","480000","433","433"
"304","pheromone bomb","3","195","100","180000","311","311"
"300","pheromone bomb","3","180","100","540000","456","456"
"306","pheromone bomb","3","195","100","300000","264","264"
"301","pheromone bomb","3","195","100","0","482","482"
"305","pheromone bomb","3","195","100","240000","483","483"
"293","pheromone bomb","3","180","100","120000","500","500"
"311","pheromone bomb","3","210","100","0","270","270"
"309","pheromone bomb","3","195","100","480000","385","385"
"307","pheromone bomb","3","195","100","360000","440","440"
"308","pheromone bomb","3","195","100","420000","501","501"
"310","pheromone bomb","3","195","100","540000","385","385"
"303","pheromone bomb","3","195","100","120000","600","600"
"315","pheromone bomb","3","210","100","240000","307","307"
"314","pheromone bomb","3","210","100","180000","421","421"
"313","pheromone bomb","3","210","100","120000","444","444"
"312","pheromone bomb","3","210","100","60000","451","451"
"319","pheromone bomb","3","210","100","480000","335","335"
"318","pheromone bomb","3","210","100","420000","395","395"
"316","pheromone bomb","3","210","100","300000","406","406"
"321","pheromone bomb","3","225","100","0","305","305"
"320","pheromone bomb","3","210","100","540000","546","546"
"323","pheromone bomb","3","225","100","120000","344","344"
"328","pheromone bomb","3","225","100","420000","281","281"
"327","pheromone bomb","3","225","100","360000","449","449"
"322","pheromone bomb","3","225","100","60000","453","453"
"325","pheromone bomb","3","225","100","240000","377","377"
"326","pheromone bomb","3","225","100","300000","420","420"
"329","pheromone bomb","3","225","100","480000","399","399"
"324","pheromone bomb","3","225","100","180000","522","522"
"330","pheromone bomb","3","225","100","540000","463","463"
"332","pheromone bomb","3","240","100","60000","350","350"
