"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"prey chain transfer"
"03/29/2023 21:51:07:531 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"121","prey chain transfer","1","210","100","0","556","556"
"124","prey chain transfer","1","210","100","180000","421","421"
"127","prey chain transfer","1","210","100","360000","334","334"
"129","prey chain transfer","1","210","100","480000","367","367"
"125","prey chain transfer","1","210","100","240000","428","428"
"126","prey chain transfer","1","210","100","300000","539","539"
"128","prey chain transfer","1","210","100","420000","442","442"
"136","prey chain transfer","1","225","100","300000","367","367"
"134","prey chain transfer","1","225","100","180000","425","425"
"132","prey chain transfer","1","225","100","60000","517","517"
"130","prey chain transfer","1","210","100","540000","611","611"
"133","prey chain transfer","1","225","100","120000","457","457"
"135","prey chain transfer","1","225","100","240000","414","414"
"137","prey chain transfer","1","225","100","360000","376","376"
"138","prey chain transfer","1","225","100","420000","451","451"
"131","prey chain transfer","1","225","100","0","519","519"
"140","prey chain transfer","1","225","100","540000","369","369"
"144","prey chain transfer","1","240","100","180000","336","336"
"143","prey chain transfer","1","240","100","120000","388","388"
"149","prey chain transfer","1","240","100","480000","318","318"
"148","prey chain transfer","1","240","100","420000","407","407"
"145","prey chain transfer","1","240","100","240000","395","395"
"146","prey chain transfer","1","240","100","300000","395","395"
"147","prey chain transfer","1","240","100","360000","515","515"
"139","prey chain transfer","1","225","100","480000","359","359"
"141","prey chain transfer","1","240","100","0","753","753"
"142","prey chain transfer","1","240","100","60000","554","554"
"152","prey chain transfer","1","255","100","60000","370","370"
"150","prey chain transfer","1","240","100","540000","596","596"
"154","prey chain transfer","1","255","100","180000","339","339"
"153","prey chain transfer","1","255","100","120000","470","470"
"151","prey chain transfer","1","255","100","0","474","474"
"156","prey chain transfer","1","255","100","300000","430","430"
"160","prey chain transfer","1","255","100","540000","468","468"
"162","prey chain transfer","1","270","100","60000","362","362"
"164","prey chain transfer","1","270","100","180000","411","411"
"155","prey chain transfer","1","255","100","240000","591","591"
"157","prey chain transfer","1","255","100","360000","570","570"
"166","prey chain transfer","1","270","100","300000","373","373"
"158","prey chain transfer","1","255","100","420000","522","522"
"161","prey chain transfer","1","270","100","0","529","529"
"163","prey chain transfer","1","270","100","120000","598","598"
"167","prey chain transfer","1","270","100","360000","409","409"
"168","prey chain transfer","1","270","100","420000","508","508"
"169","prey chain transfer","1","270","100","480000","440","440"
"159","prey chain transfer","1","255","100","480000","503","503"
"165","prey chain transfer","1","270","100","240000","609","609"
"170","prey chain transfer","1","270","100","540000","451","451"
"171","prey chain transfer","1","285","100","0","472","472"
"175","prey chain transfer","1","285","100","240000","367","367"
"173","prey chain transfer","1","285","100","120000","531","531"
"174","prey chain transfer","1","285","100","180000","504","504"
"179","prey chain transfer","1","285","100","480000","377","377"
"176","prey chain transfer","1","285","100","300000","545","545"
"184","prey chain transfer","1","300","100","180000","321","321"
"177","prey chain transfer","1","285","100","360000","545","545"
"183","prey chain transfer","1","300","100","120000","473","473"
"182","prey chain transfer","1","300","100","60000","535","535"
"178","prey chain transfer","1","285","100","420000","535","535"
"172","prey chain transfer","1","285","100","60000","628","628"
"192","prey chain transfer","3","30","100","60000","128","128"
"181","prey chain transfer","1","300","100","0","507","507"
"191","prey chain transfer","3","30","100","0","231","231"
"186","prey chain transfer","1","300","100","300000","447","447"
"193","prey chain transfer","3","30","100","120000","192","192"
"180","prey chain transfer","1","285","100","540000","460","460"
"187","prey chain transfer","1","300","100","360000","375","375"
"185","prey chain transfer","1","300","100","240000","652","652"
"189","prey chain transfer","1","300","100","480000","368","368"
"195","prey chain transfer","3","30","100","240000","235","235"
"196","prey chain transfer","3","30","100","300000","246","246"
"197","prey chain transfer","3","30","100","360000","199","199"
"188","prey chain transfer","1","300","100","420000","541","541"
"194","prey chain transfer","3","30","100","180000","252","252"
"198","prey chain transfer","3","30","100","420000","284","284"
"190","prey chain transfer","1","300","100","540000","532","532"
"199","prey chain transfer","3","30","100","480000","279","279"
"201","prey chain transfer","3","45","100","0","272","272"
"204","prey chain transfer","3","45","100","180000","247","247"
"202","prey chain transfer","3","45","100","60000","276","276"
"203","prey chain transfer","3","45","100","120000","290","290"
"205","prey chain transfer","3","45","100","240000","285","285"
"200","prey chain transfer","3","30","100","540000","250","250"
"210","prey chain transfer","3","45","100","540000","214","214"
"208","prey chain transfer","3","45","100","420000","232","232"
"206","prey chain transfer","3","45","100","300000","314","314"
"215","prey chain transfer","3","60","100","240000","187","187"
"209","prey chain transfer","3","45","100","480000","314","314"
"212","prey chain transfer","3","60","100","60000","250","250"
"207","prey chain transfer","3","45","100","360000","311","311"
"214","prey chain transfer","3","60","100","180000","290","290"
"211","prey chain transfer","3","60","100","0","362","362"
"213","prey chain transfer","3","60","100","120000","307","307"
"218","prey chain transfer","3","60","100","420000","240","240"
"216","prey chain transfer","3","60","100","300000","319","319"
"224","prey chain transfer","3","75","100","180000","312","312"
"219","prey chain transfer","3","60","100","480000","312","312"
"226","prey chain transfer","3","75","100","300000","220","220"
"220","prey chain transfer","3","60","100","540000","357","357"
"223","prey chain transfer","3","75","100","120000","312","312"
"222","prey chain transfer","3","75","100","60000","309","309"
"227","prey chain transfer","3","75","100","360000","270","270"
"217","prey chain transfer","3","60","100","360000","333","333"
"221","prey chain transfer","3","75","100","0","337","337"
"225","prey chain transfer","3","75","100","240000","303","303"
"229","prey chain transfer","3","75","100","480000","389","389"
"232","prey chain transfer","3","90","100","60000","253","253"
"230","prey chain transfer","3","75","100","540000","277","277"
"228","prey chain transfer","3","75","100","420000","371","371"
"235","prey chain transfer","3","90","100","240000","319","319"
"233","prey chain transfer","3","90","100","120000","360","360"
"238","prey chain transfer","3","90","100","420000","273","273"
"240","prey chain transfer","3","90","100","540000","247","247"
"231","prey chain transfer","3","90","100","0","343","343"
"234","prey chain transfer","3","90","100","180000","505","505"
"237","prey chain transfer","3","90","100","360000","300","300"
"239","prey chain transfer","3","90","100","480000","367","367"
"241","prey chain transfer","3","105","100","0","334","334"
"236","prey chain transfer","3","90","100","300000","419","419"
"243","prey chain transfer","3","105","100","120000","351","351"
"242","prey chain transfer","3","105","100","60000","326","326"
"245","prey chain transfer","3","105","100","240000","300","300"
"244","prey chain transfer","3","105","100","180000","327","327"
"248","prey chain transfer","3","105","100","420000","233","233"
"247","prey chain transfer","3","105","100","360000","271","271"
"246","prey chain transfer","3","105","100","300000","362","362"
"251","prey chain transfer","3","120","100","0","250","250"
"255","prey chain transfer","3","120","100","240000","243","243"
"249","prey chain transfer","3","105","100","480000","416","416"
"252","prey chain transfer","3","120","100","60000","413","413"
"254","prey chain transfer","3","120","100","180000","425","425"
"257","prey chain transfer","3","120","100","360000","331","331"
"256","prey chain transfer","3","120","100","300000","424","424"
"259","prey chain transfer","3","120","100","480000","317","317"
"258","prey chain transfer","3","120","100","420000","352","352"
"260","prey chain transfer","3","120","100","540000","361","361"
"262","prey chain transfer","3","135","100","60000","347","347"
"261","prey chain transfer","3","135","100","0","404","404"
"264","prey chain transfer","3","135","100","180000","330","330"
"266","prey chain transfer","3","135","100","300000","250","250"
"250","prey chain transfer","3","105","100","540000","385","385"
"253","prey chain transfer","3","120","100","120000","537","537"
"263","prey chain transfer","3","135","100","120000","463","463"
"267","prey chain transfer","3","135","100","360000","392","392"
"270","prey chain transfer","3","135","100","540000","249","249"
"265","prey chain transfer","3","135","100","240000","483","483"
"269","prey chain transfer","3","135","100","480000","248","248"
"268","prey chain transfer","3","135","100","420000","351","351"
"271","prey chain transfer","3","150","100","0","427","427"
"276","prey chain transfer","3","150","100","300000","408","408"
"272","prey chain transfer","3","150","100","60000","490","490"
"277","prey chain transfer","3","150","100","360000","491","491"
"274","prey chain transfer","3","150","100","180000","498","498"
"275","prey chain transfer","3","150","100","240000","357","357"
"273","prey chain transfer","3","150","100","120000","465","465"
"279","prey chain transfer","3","150","100","480000","502","502"
"278","prey chain transfer","3","150","100","420000","416","416"
"282","prey chain transfer","3","165","100","60000","421","421"
"283","prey chain transfer","3","165","100","120000","430","430"
"280","prey chain transfer","3","150","100","540000","479","479"
"287","prey chain transfer","3","165","100","360000","279","279"
"286","prey chain transfer","3","165","100","300000","390","390"
"284","prey chain transfer","3","165","100","180000","460","460"
"285","prey chain transfer","3","165","100","240000","372","372"
"291","prey chain transfer","3","180","100","0","394","394"
"290","prey chain transfer","3","165","100","540000","366","366"
"288","prey chain transfer","3","165","100","420000","428","428"
"289","prey chain transfer","3","165","100","480000","460","460"
"281","prey chain transfer","3","165","100","0","589","589"
"292","prey chain transfer","3","180","100","60000","473","473"
"297","prey chain transfer","3","180","100","360000","386","386"
"296","prey chain transfer","3","180","100","300000","440","440"
"295","prey chain transfer","3","180","100","240000","436","436"
"294","prey chain transfer","3","180","100","180000","476","476"
"293","prey chain transfer","3","180","100","120000","574","574"
"302","prey chain transfer","3","195","100","60000","344","344"
"300","prey chain transfer","3","180","100","540000","452","452"
"298","prey chain transfer","3","180","100","420000","514","514"
"299","prey chain transfer","3","180","100","480000","440","440"
"304","prey chain transfer","3","195","100","180000","318","318"
"306","prey chain transfer","3","195","100","300000","315","315"
"305","prey chain transfer","3","195","100","240000","510","510"
"308","prey chain transfer","3","195","100","420000","491","491"
"307","prey chain transfer","3","195","100","360000","457","457"
"309","prey chain transfer","3","195","100","480000","389","389"
"311","prey chain transfer","3","210","100","0","331","331"
"301","prey chain transfer","3","195","100","0","459","459"
"310","prey chain transfer","3","195","100","540000","379","379"
"314","prey chain transfer","3","210","100","180000","447","447"
"313","prey chain transfer","3","210","100","120000","464","464"
"315","prey chain transfer","3","210","100","240000","344","344"
"312","prey chain transfer","3","210","100","60000","436","436"
"303","prey chain transfer","3","195","100","120000","559","559"
"319","prey chain transfer","3","210","100","480000","341","341"
"316","prey chain transfer","3","210","100","300000","392","392"
"318","prey chain transfer","3","210","100","420000","391","391"
"320","prey chain transfer","3","210","100","540000","510","510"
"317","prey chain transfer","3","210","100","360000","493","493"
"322","prey chain transfer","3","225","100","60000","434","434"
"321","prey chain transfer","3","225","100","0","332","332"
"323","prey chain transfer","3","225","100","120000","403","403"
"324","prey chain transfer","3","225","100","180000","491","491"
"325","prey chain transfer","3","225","100","240000","417","417"
"328","prey chain transfer","3","225","100","420000","335","335"
"326","prey chain transfer","3","225","100","300000","421","421"
"331","prey chain transfer","3","240","100","0","390","390"
"332","prey chain transfer","3","240","100","60000","406","406"
"329","prey chain transfer","3","225","100","480000","436","436"
"330","prey chain transfer","3","225","100","540000","452","452"
"327","prey chain transfer","3","225","100","360000","555","555"
"333","prey chain transfer","3","240","100","120000","422","422"
"335","prey chain transfer","3","240","100","240000","384","384"
"339","prey chain transfer","3","240","100","480000","382","382"
"337","prey chain transfer","3","240","100","360000","405","405"
"336","prey chain transfer","3","240","100","300000","378","378"
"338","prey chain transfer","3","240","100","420000","435","435"
"334","prey chain transfer","3","240","100","180000","416","416"
"341","prey chain transfer","3","255","100","0","451","451"
"343","prey chain transfer","3","255","100","120000","426","426"
"345","prey chain transfer","3","255","100","240000","381","381"
"350","prey chain transfer","3","255","100","540000","305","305"
"348","prey chain transfer","3","255","100","420000","442","442"
"347","prey chain transfer","3","255","100","360000","394","394"
"344","prey chain transfer","3","255","100","180000","446","446"
"342","prey chain transfer","3","255","100","60000","503","503"
"349","prey chain transfer","3","255","100","480000","501","501"
"346","prey chain transfer","3","255","100","300000","522","522"
"340","prey chain transfer","3","240","100","540000","649","649"
"351","prey chain transfer","3","270","100","0","363","363"
"354","prey chain transfer","3","270","100","180000","390","390"
"355","prey chain transfer","3","270","100","240000","397","397"
"353","prey chain transfer","3","270","100","120000","447","447"
"352","prey chain transfer","3","270","100","60000","559","559"
"356","prey chain transfer","3","270","100","300000","445","445"
"357","prey chain transfer","3","270","100","360000","519","519"
"358","prey chain transfer","3","270","100","420000","569","569"
"363","prey chain transfer","3","285","100","120000","316","316"
"359","prey chain transfer","3","270","100","480000","553","553"
"362","prey chain transfer","3","285","100","60000","447","447"
"365","prey chain transfer","3","285","100","240000","517","517"
"364","prey chain transfer","3","285","100","180000","453","453"
"360","prey chain transfer","3","270","100","540000","653","653"
"366","prey chain transfer","3","285","100","300000","456","456"
"361","prey chain transfer","3","285","100","0","554","554"
"367","prey chain transfer","3","285","100","360000","630","630"
"369","prey chain transfer","3","285","100","480000","363","363"
"368","prey chain transfer","3","285","100","420000","528","528"
"372","prey chain transfer","3","300","100","60000","483","483"
"373","prey chain transfer","3","300","100","120000","520","520"
"381","prey chain transfer","5","30","100","0","208","208"
"374","prey chain transfer","3","300","100","180000","449","449"
"378","prey chain transfer","3","300","100","420000","492","492"
"382","prey chain transfer","5","30","100","60000","221","221"
"379","prey chain transfer","3","300","100","480000","410","410"
"383","prey chain transfer","5","30","100","120000","230","230"
"384","prey chain transfer","5","30","100","180000","183","183"
"376","prey chain transfer","3","300","100","300000","580","580"
"375","prey chain transfer","3","300","100","240000","637","637"
"377","prey chain transfer","3","300","100","360000","472","472"
"385","prey chain transfer","5","30","100","240000","244","244"
"371","prey chain transfer","3","300","100","0","466","466"
"386","prey chain transfer","5","30","100","300000","209","209"
"380","prey chain transfer","3","300","100","540000","533","533"
"391","prey chain transfer","5","45","100","0","201","201"
"390","prey chain transfer","5","30","100","540000","230","230"
"388","prey chain transfer","5","30","100","420000","253","253"
"387","prey chain transfer","5","30","100","360000","277","277"
"393","prey chain transfer","5","45","100","120000","222","222"
"389","prey chain transfer","5","30","100","480000","253","253"
"370","prey chain transfer","3","285","100","540000","601","601"
"394","prey chain transfer","5","45","100","180000","303","303"
"396","prey chain transfer","5","45","100","300000","222","222"
"400","prey chain transfer","5","45","100","540000","182","182"
"392","prey chain transfer","5","45","100","60000","403","403"
"399","prey chain transfer","5","45","100","480000","253","253"
"397","prey chain transfer","5","45","100","360000","300","300"
"398","prey chain transfer","5","45","100","420000","277","277"
"395","prey chain transfer","5","45","100","240000","267","267"
"403","prey chain transfer","5","60","100","120000","248","248"
"401","prey chain transfer","5","60","100","0","307","307"
"402","prey chain transfer","5","60","100","60000","334","334"
"404","prey chain transfer","5","60","100","180000","286","286"
"407","prey chain transfer","5","60","100","360000","277","277"
"405","prey chain transfer","5","60","100","240000","307","307"
"406","prey chain transfer","5","60","100","300000","299","299"
"409","prey chain transfer","5","60","100","480000","264","264"
"408","prey chain transfer","5","60","100","420000","262","262"
"413","prey chain transfer","5","75","100","120000","322","322"
"410","prey chain transfer","5","60","100","540000","353","353"
"414","prey chain transfer","5","75","100","180000","329","329"
"417","prey chain transfer","5","75","100","360000","259","259"
"415","prey chain transfer","5","75","100","240000","259","259"
"412","prey chain transfer","5","75","100","60000","254","254"
"419","prey chain transfer","5","75","100","480000","234","234"
"420","prey chain transfer","5","75","100","540000","287","287"
"418","prey chain transfer","5","75","100","420000","301","301"
"416","prey chain transfer","5","75","100","300000","258","258"
"411","prey chain transfer","5","75","100","0","384","384"
"422","prey chain transfer","5","90","100","60000","288","288"
"421","prey chain transfer","5","90","100","0","364","364"
"425","prey chain transfer","5","90","100","240000","324","324"
"429","prey chain transfer","5","90","100","480000","302","302"
"424","prey chain transfer","5","90","100","180000","342","342"
"428","prey chain transfer","5","90","100","420000","380","380"
"430","prey chain transfer","5","90","100","540000","316","316"
"432","prey chain transfer","5","105","100","60000","334","334"
"427","prey chain transfer","5","90","100","360000","296","296"
"423","prey chain transfer","5","90","100","120000","444","444"
"426","prey chain transfer","5","90","100","300000","330","330"
"433","prey chain transfer","5","105","100","120000","300","300"
"436","prey chain transfer","5","105","100","300000","252","252"
"434","prey chain transfer","5","105","100","180000","373","373"
"431","prey chain transfer","5","105","100","0","370","370"
"435","prey chain transfer","5","105","100","240000","357","357"
"438","prey chain transfer","5","105","100","420000","290","290"
"437","prey chain transfer","5","105","100","360000","344","344"
"439","prey chain transfer","5","105","100","480000","290","290"
