"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"tandem carrying"
"03/30/2023 09:03:49:534 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"126","tandem carrying","1","210","100","300000","762","762"
"132","tandem carrying","1","225","100","60000","646","646"
"128","tandem carrying","1","210","100","420000","616","616"
"133","tandem carrying","1","225","100","120000","664","664"
"130","tandem carrying","1","210","100","540000","849","849"
"134","tandem carrying","1","225","100","180000","527","527"
"131","tandem carrying","1","225","100","0","690","690"
"136","tandem carrying","1","225","100","300000","594","594"
"135","tandem carrying","1","225","100","240000","613","613"
"144","tandem carrying","1","240","100","180000","448","448"
"140","tandem carrying","1","225","100","540000","563","563"
"143","tandem carrying","1","240","100","120000","537","537"
"137","tandem carrying","1","225","100","360000","599","599"
"138","tandem carrying","1","225","100","420000","742","742"
"139","tandem carrying","1","225","100","480000","488","488"
"146","tandem carrying","1","240","100","300000","543","543"
"149","tandem carrying","1","240","100","480000","452","452"
"145","tandem carrying","1","240","100","240000","604","604"
"147","tandem carrying","1","240","100","360000","655","655"
"142","tandem carrying","1","240","100","60000","836","836"
"141","tandem carrying","1","240","100","0","1078","1078"
"148","tandem carrying","1","240","100","420000","663","663"
"150","tandem carrying","1","240","100","540000","879","879"
"153","tandem carrying","1","255","100","120000","624","624"
"152","tandem carrying","1","255","100","60000","529","529"
"154","tandem carrying","1","255","100","180000","492","492"
"151","tandem carrying","1","255","100","0","700","700"
"156","tandem carrying","1","255","100","300000","594","594"
"157","tandem carrying","1","255","100","360000","793","793"
"158","tandem carrying","1","255","100","420000","720","720"
"160","tandem carrying","1","255","100","540000","816","816"
"159","tandem carrying","1","255","100","480000","709","709"
"162","tandem carrying","1","270","100","60000","550","550"
"155","tandem carrying","1","255","100","240000","836","836"
"166","tandem carrying","1","270","100","300000","531","531"
"167","tandem carrying","1","270","100","360000","646","646"
"161","tandem carrying","1","270","100","0","841","841"
"164","tandem carrying","1","270","100","180000","656","656"
"163","tandem carrying","1","270","100","120000","817","817"
"168","tandem carrying","1","270","100","420000","827","827"
"169","tandem carrying","1","270","100","480000","651","651"
"170","tandem carrying","1","270","100","540000","662","662"
"165","tandem carrying","1","270","100","240000","864","864"
"171","tandem carrying","1","285","100","0","746","746"
"173","tandem carrying","1","285","100","120000","734","734"
"174","tandem carrying","1","285","100","180000","759","759"
"175","tandem carrying","1","285","100","240000","628","628"
"172","tandem carrying","1","285","100","60000","998","998"
"176","tandem carrying","1","285","100","300000","801","801"
"183","tandem carrying","1","300","100","120000","718","718"
"180","tandem carrying","1","285","100","540000","682","682"
"184","tandem carrying","1","300","100","180000","488","488"
"179","tandem carrying","1","285","100","480000","605","605"
"182","tandem carrying","1","300","100","60000","754","754"
"186","tandem carrying","1","300","100","300000","614","614"
"178","tandem carrying","1","285","100","420000","804","804"
"177","tandem carrying","1","285","100","360000","800","800"
"181","tandem carrying","1","300","100","0","714","714"
"192","tandem carrying","3","30","100","60000","178","178"
"185","tandem carrying","1","300","100","240000","895","895"
"191","tandem carrying","3","30","100","0","296","296"
"193","tandem carrying","3","30","100","120000","281","281"
"199","tandem carrying","3","30","100","480000","297","297"
"187","tandem carrying","1","300","100","360000","537","537"
"198","tandem carrying","3","30","100","420000","331","331"
"194","tandem carrying","3","30","100","180000","380","380"
"197","tandem carrying","3","30","100","360000","381","381"
"196","tandem carrying","3","30","100","300000","340","340"
"195","tandem carrying","3","30","100","240000","389","389"
"189","tandem carrying","1","300","100","480000","596","596"
"201","tandem carrying","3","45","100","0","390","390"
"188","tandem carrying","1","300","100","420000","844","844"
"200","tandem carrying","3","30","100","540000","394","394"
"190","tandem carrying","1","300","100","540000","780","780"
"205","tandem carrying","3","45","100","240000","358","358"
"204","tandem carrying","3","45","100","180000","330","330"
"203","tandem carrying","3","45","100","120000","474","474"
"202","tandem carrying","3","45","100","60000","465","465"
"209","tandem carrying","3","45","100","480000","519","519"
"208","tandem carrying","3","45","100","420000","396","396"
"214","tandem carrying","3","60","100","180000","330","330"
"212","tandem carrying","3","60","100","60000","332","332"
"210","tandem carrying","3","45","100","540000","363","363"
"215","tandem carrying","3","60","100","240000","289","289"
"211","tandem carrying","3","60","100","0","481","481"
"207","tandem carrying","3","45","100","360000","462","462"
"213","tandem carrying","3","60","100","120000","426","426"
"206","tandem carrying","3","45","100","300000","546","546"
"216","tandem carrying","3","60","100","300000","425","425"
"217","tandem carrying","3","60","100","360000","460","460"
"218","tandem carrying","3","60","100","420000","327","327"
"219","tandem carrying","3","60","100","480000","324","324"
"220","tandem carrying","3","60","100","540000","450","450"
"226","tandem carrying","3","75","100","300000","309","309"
"227","tandem carrying","3","75","100","360000","372","372"
"223","tandem carrying","3","75","100","120000","422","422"
"222","tandem carrying","3","75","100","60000","407","407"
"224","tandem carrying","3","75","100","180000","457","457"
"230","tandem carrying","3","75","100","540000","364","364"
"229","tandem carrying","3","75","100","480000","531","531"
"221","tandem carrying","3","75","100","0","521","521"
"232","tandem carrying","3","90","100","60000","374","374"
"225","tandem carrying","3","75","100","240000","435","435"
"235","tandem carrying","3","90","100","240000","437","437"
"231","tandem carrying","3","90","100","0","422","422"
"233","tandem carrying","3","90","100","120000","496","496"
"237","tandem carrying","3","90","100","360000","378","378"
"234","tandem carrying","3","90","100","180000","597","597"
"228","tandem carrying","3","75","100","420000","660","660"
"238","tandem carrying","3","90","100","420000","401","401"
"240","tandem carrying","3","90","100","540000","402","402"
"239","tandem carrying","3","90","100","480000","464","464"
"241","tandem carrying","3","105","100","0","477","477"
"243","tandem carrying","3","105","100","120000","409","409"
"248","tandem carrying","3","105","100","420000","345","345"
"245","tandem carrying","3","105","100","240000","362","362"
"247","tandem carrying","3","105","100","360000","367","367"
"244","tandem carrying","3","105","100","180000","416","416"
"236","tandem carrying","3","90","100","300000","587","587"
"251","tandem carrying","3","120","100","0","351","351"
"252","tandem carrying","3","120","100","60000","551","551"
"242","tandem carrying","3","105","100","60000","490","490"
"246","tandem carrying","3","105","100","300000","581","581"
"249","tandem carrying","3","105","100","480000","801","801"
"259","tandem carrying","3","120","100","480000","380","380"
"250","tandem carrying","3","105","100","540000","522","522"
"255","tandem carrying","3","120","100","240000","468","468"
"257","tandem carrying","3","120","100","360000","481","481"
"254","tandem carrying","3","120","100","180000","689","689"
"258","tandem carrying","3","120","100","420000","475","475"
"256","tandem carrying","3","120","100","300000","689","689"
"261","tandem carrying","3","135","100","0","468","468"
"266","tandem carrying","3","135","100","300000","419","419"
"260","tandem carrying","3","120","100","540000","616","616"
"263","tandem carrying","3","135","100","120000","634","634"
"262","tandem carrying","3","135","100","60000","605","605"
"253","tandem carrying","3","120","100","120000","784","784"
"269","tandem carrying","3","135","100","480000","339","339"
"270","tandem carrying","3","135","100","540000","334","334"
"264","tandem carrying","3","135","100","180000","594","594"
"267","tandem carrying","3","135","100","360000","634","634"
"265","tandem carrying","3","135","100","240000","680","680"
"268","tandem carrying","3","135","100","420000","569","569"
"275","tandem carrying","3","150","100","240000","491","491"
"271","tandem carrying","3","150","100","0","557","557"
"274","tandem carrying","3","150","100","180000","682","682"
"276","tandem carrying","3","150","100","300000","576","576"
"277","tandem carrying","3","150","100","360000","561","561"
"272","tandem carrying","3","150","100","60000","666","666"
"278","tandem carrying","3","150","100","420000","540","540"
"279","tandem carrying","3","150","100","480000","777","777"
"282","tandem carrying","3","165","100","60000","515","515"
"273","tandem carrying","3","150","100","120000","729","729"
"283","tandem carrying","3","165","100","120000","622","622"
"287","tandem carrying","3","165","100","360000","426","426"
"280","tandem carrying","3","150","100","540000","635","635"
"281","tandem carrying","3","165","100","0","723","723"
"286","tandem carrying","3","165","100","300000","649","649"
"291","tandem carrying","3","180","100","0","556","556"
"284","tandem carrying","3","165","100","180000","646","646"
"288","tandem carrying","3","165","100","420000","719","719"
"290","tandem carrying","3","165","100","540000","497","497"
"285","tandem carrying","3","165","100","240000","640","640"
"289","tandem carrying","3","165","100","480000","654","654"
"292","tandem carrying","3","180","100","60000","741","741"
"296","tandem carrying","3","180","100","300000","556","556"
"295","tandem carrying","3","180","100","240000","630","630"
"294","tandem carrying","3","180","100","180000","620","620"
"302","tandem carrying","3","195","100","60000","526","526"
"298","tandem carrying","3","180","100","420000","653","653"
"301","tandem carrying","3","195","100","0","647","647"
"297","tandem carrying","3","180","100","360000","659","659"
"300","tandem carrying","3","180","100","540000","638","638"
"299","tandem carrying","3","180","100","480000","586","586"
"293","tandem carrying","3","180","100","120000","849","849"
"304","tandem carrying","3","195","100","180000","439","439"
"307","tandem carrying","3","195","100","360000","537","537"
"306","tandem carrying","3","195","100","300000","427","427"
"305","tandem carrying","3","195","100","240000","695","695"
"309","tandem carrying","3","195","100","480000","645","645"
"315","tandem carrying","3","210","100","240000","417","417"
"311","tandem carrying","3","210","100","0","469","469"
"310","tandem carrying","3","195","100","540000","550","550"
"308","tandem carrying","3","195","100","420000","800","800"
"312","tandem carrying","3","210","100","60000","607","607"
"314","tandem carrying","3","210","100","180000","704","704"
"303","tandem carrying","3","195","100","120000","876","876"
"319","tandem carrying","3","210","100","480000","496","496"
"321","tandem carrying","3","225","100","0","468","468"
"313","tandem carrying","3","210","100","120000","709","709"
"317","tandem carrying","3","210","100","360000","631","631"
"320","tandem carrying","3","210","100","540000","714","714"
"318","tandem carrying","3","210","100","420000","622","622"
"324","tandem carrying","3","225","100","180000","586","586"
"316","tandem carrying","3","210","100","300000","660","660"
"323","tandem carrying","3","225","100","120000","641","641"
"322","tandem carrying","3","225","100","60000","708","708"
"325","tandem carrying","3","225","100","240000","588","588"
