"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"solitary foraging"
"03/29/2023 20:47:07:691 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"134","solitary foraging","1","225","100","180000","365","365"
"126","solitary foraging","1","210","100","300000","525","525"
"132","solitary foraging","1","225","100","60000","489","489"
"127","solitary foraging","1","210","100","360000","339","339"
"130","solitary foraging","1","210","100","540000","627","627"
"136","solitary foraging","1","225","100","300000","415","415"
"131","solitary foraging","1","225","100","0","467","467"
"135","solitary foraging","1","225","100","240000","424","424"
"137","solitary foraging","1","225","100","360000","371","371"
"140","solitary foraging","1","225","100","540000","330","330"
"133","solitary foraging","1","225","100","120000","448","448"
"139","solitary foraging","1","225","100","480000","374","374"
"144","solitary foraging","1","240","100","180000","315","315"
"146","solitary foraging","1","240","100","300000","374","374"
"148","solitary foraging","1","240","100","420000","385","385"
"138","solitary foraging","1","225","100","420000","448","448"
"145","solitary foraging","1","240","100","240000","377","377"
"149","solitary foraging","1","240","100","480000","292","292"
"142","solitary foraging","1","240","100","60000","533","533"
"141","solitary foraging","1","240","100","0","703","703"
"147","solitary foraging","1","240","100","360000","520","520"
"143","solitary foraging","1","240","100","120000","373","373"
"152","solitary foraging","1","255","100","60000","381","381"
"154","solitary foraging","1","255","100","180000","324","324"
"151","solitary foraging","1","255","100","0","477","477"
"153","solitary foraging","1","255","100","120000","486","486"
"156","solitary foraging","1","255","100","300000","456","456"
"157","solitary foraging","1","255","100","360000","550","550"
"160","solitary foraging","1","255","100","540000","475","475"
"162","solitary foraging","1","270","100","60000","372","372"
"158","solitary foraging","1","255","100","420000","495","495"
"164","solitary foraging","1","270","100","180000","431","431"
"159","solitary foraging","1","255","100","480000","518","518"
"150","solitary foraging","1","240","100","540000","610","610"
"163","solitary foraging","1","270","100","120000","611","611"
"167","solitary foraging","1","270","100","360000","387","387"
"166","solitary foraging","1","270","100","300000","348","348"
"169","solitary foraging","1","270","100","480000","421","421"
"168","solitary foraging","1","270","100","420000","498","498"
"170","solitary foraging","1","270","100","540000","441","441"
"165","solitary foraging","1","270","100","240000","600","600"
"171","solitary foraging","1","285","100","0","451","451"
"161","solitary foraging","1","270","100","0","544","544"
"155","solitary foraging","1","255","100","240000","617","617"
"174","solitary foraging","1","285","100","180000","494","494"
"175","solitary foraging","1","285","100","240000","367","367"
"172","solitary foraging","1","285","100","60000","621","621"
"179","solitary foraging","1","285","100","480000","357","357"
"173","solitary foraging","1","285","100","120000","512","512"
"180","solitary foraging","1","285","100","540000","443","443"
"177","solitary foraging","1","285","100","360000","526","526"
"184","solitary foraging","1","300","100","180000","339","339"
"176","solitary foraging","1","285","100","300000","541","541"
"181","solitary foraging","1","300","100","0","483","483"
"192","solitary foraging","3","30","100","60000","125","125"
"178","solitary foraging","1","285","100","420000","489","489"
"191","solitary foraging","3","30","100","0","234","234"
"183","solitary foraging","1","300","100","120000","449","449"
"187","solitary foraging","1","300","100","360000","330","330"
"193","solitary foraging","3","30","100","120000","249","249"
"186","solitary foraging","1","300","100","300000","447","447"
"194","solitary foraging","3","30","100","180000","236","236"
"185","solitary foraging","1","300","100","240000","706","706"
"189","solitary foraging","1","300","100","480000","340","340"
"182","solitary foraging","1","300","100","60000","542","542"
"195","solitary foraging","3","30","100","240000","260","260"
"196","solitary foraging","3","30","100","300000","333","333"
"199","solitary foraging","3","30","100","480000","267","267"
"197","solitary foraging","3","30","100","360000","242","242"
"190","solitary foraging","1","300","100","540000","511","511"
"198","solitary foraging","3","30","100","420000","341","341"
"201","solitary foraging","3","45","100","0","303","303"
"200","solitary foraging","3","30","100","540000","308","308"
"205","solitary foraging","3","45","100","240000","289","289"
"202","solitary foraging","3","45","100","60000","301","301"
"203","solitary foraging","3","45","100","120000","308","308"
"188","solitary foraging","1","300","100","420000","523","523"
"210","solitary foraging","3","45","100","540000","219","219"
"209","solitary foraging","3","45","100","480000","355","355"
"206","solitary foraging","3","45","100","300000","341","341"
"207","solitary foraging","3","45","100","360000","343","343"
"204","solitary foraging","3","45","100","180000","308","308"
"215","solitary foraging","3","60","100","240000","202","202"
"212","solitary foraging","3","60","100","60000","236","236"
"214","solitary foraging","3","60","100","180000","293","293"
"213","solitary foraging","3","60","100","120000","274","274"
"211","solitary foraging","3","60","100","0","336","336"
"208","solitary foraging","3","45","100","420000","283","283"
"218","solitary foraging","3","60","100","420000","221","221"
"219","solitary foraging","3","60","100","480000","274","274"
"226","solitary foraging","3","75","100","300000","256","256"
"217","solitary foraging","3","60","100","360000","384","384"
"222","solitary foraging","3","75","100","60000","308","308"
"224","solitary foraging","3","75","100","180000","328","328"
"220","solitary foraging","3","60","100","540000","364","364"
"223","solitary foraging","3","75","100","120000","320","320"
"216","solitary foraging","3","60","100","300000","365","365"
"225","solitary foraging","3","75","100","240000","334","334"
"227","solitary foraging","3","75","100","360000","304","304"
"229","solitary foraging","3","75","100","480000","382","382"
"230","solitary foraging","3","75","100","540000","278","278"
"232","solitary foraging","3","90","100","60000","272","272"
"235","solitary foraging","3","90","100","240000","309","309"
"231","solitary foraging","3","90","100","0","360","360"
"233","solitary foraging","3","90","100","120000","400","400"
"237","solitary foraging","3","90","100","360000","318","318"
"221","solitary foraging","3","75","100","0","408","408"
"228","solitary foraging","3","75","100","420000","500","500"
"240","solitary foraging","3","90","100","540000","292","292"
"234","solitary foraging","3","90","100","180000","557","557"
"239","solitary foraging","3","90","100","480000","329","329"
"241","solitary foraging","3","105","100","0","335","335"
"243","solitary foraging","3","105","100","120000","328","328"
"244","solitary foraging","3","105","100","180000","319","319"
"238","solitary foraging","3","90","100","420000","289","289"
"248","solitary foraging","3","105","100","420000","233","233"
"242","solitary foraging","3","105","100","60000","367","367"
"236","solitary foraging","3","90","100","300000","364","364"
"245","solitary foraging","3","105","100","240000","302","302"
"247","solitary foraging","3","105","100","360000","300","300"
"251","solitary foraging","3","120","100","0","264","264"
"249","solitary foraging","3","105","100","480000","496","496"
"250","solitary foraging","3","105","100","540000","407","407"
"255","solitary foraging","3","120","100","240000","274","274"
"252","solitary foraging","3","120","100","60000","433","433"
"246","solitary foraging","3","105","100","300000","397","397"
"256","solitary foraging","3","120","100","300000","404","404"
"259","solitary foraging","3","120","100","480000","330","330"
"258","solitary foraging","3","120","100","420000","344","344"
"260","solitary foraging","3","120","100","540000","351","351"
"266","solitary foraging","3","135","100","300000","238","238"
"261","solitary foraging","3","135","100","0","445","445"
"262","solitary foraging","3","135","100","60000","420","420"
"257","solitary foraging","3","120","100","360000","397","397"
"254","solitary foraging","3","120","100","180000","467","467"
"264","solitary foraging","3","135","100","180000","410","410"
"253","solitary foraging","3","120","100","120000","547","547"
"263","solitary foraging","3","135","100","120000","483","483"
"267","solitary foraging","3","135","100","360000","394","394"
"270","solitary foraging","3","135","100","540000","250","250"
"269","solitary foraging","3","135","100","480000","256","256"
"268","solitary foraging","3","135","100","420000","365","365"
"271","solitary foraging","3","150","100","0","370","370"
"265","solitary foraging","3","135","100","240000","466","466"
"275","solitary foraging","3","150","100","240000","332","332"
"276","solitary foraging","3","150","100","300000","398","398"
"272","solitary foraging","3","150","100","60000","452","452"
"277","solitary foraging","3","150","100","360000","489","489"
"279","solitary foraging","3","150","100","480000","477","477"
"282","solitary foraging","3","165","100","60000","414","414"
"278","solitary foraging","3","150","100","420000","460","460"
"284","solitary foraging","3","165","100","180000","393","393"
"274","solitary foraging","3","150","100","180000","493","493"
"286","solitary foraging","3","165","100","300000","401","401"
"280","solitary foraging","3","150","100","540000","474","474"
"287","solitary foraging","3","165","100","360000","285","285"
"285","solitary foraging","3","165","100","240000","367","367"
"283","solitary foraging","3","165","100","120000","464","464"
"288","solitary foraging","3","165","100","420000","514","514"
"273","solitary foraging","3","150","100","120000","517","517"
"281","solitary foraging","3","165","100","0","594","594"
"291","solitary foraging","3","180","100","0","428","428"
"290","solitary foraging","3","165","100","540000","408","408"
"289","solitary foraging","3","165","100","480000","487","487"
"294","solitary foraging","3","180","100","180000","412","412"
"295","solitary foraging","3","180","100","240000","440","440"
"296","solitary foraging","3","180","100","300000","445","445"
"302","solitary foraging","3","195","100","60000","368","368"
"297","solitary foraging","3","180","100","360000","373","373"
"298","solitary foraging","3","180","100","420000","484","484"
"301","solitary foraging","3","195","100","0","479","479"
"293","solitary foraging","3","180","100","120000","636","636"
"292","solitary foraging","3","180","100","60000","485","485"
"306","solitary foraging","3","195","100","300000","309","309"
"304","solitary foraging","3","195","100","180000","378","378"
"300","solitary foraging","3","180","100","540000","462","462"
"305","solitary foraging","3","195","100","240000","573","573"
"309","solitary foraging","3","195","100","480000","353","353"
"303","solitary foraging","3","195","100","120000","601","601"
"299","solitary foraging","3","180","100","480000","429","429"
"307","solitary foraging","3","195","100","360000","428","428"
"311","solitary foraging","3","210","100","0","351","351"
"313","solitary foraging","3","210","100","120000","413","413"
"310","solitary foraging","3","195","100","540000","426","426"
"314","solitary foraging","3","210","100","180000","464","464"
"315","solitary foraging","3","210","100","240000","395","395"
"321","solitary foraging","3","225","100","0","341","341"
"318","solitary foraging","3","210","100","420000","402","402"
"316","solitary foraging","3","210","100","300000","437","437"
"308","solitary foraging","3","195","100","420000","595","595"
"319","solitary foraging","3","210","100","480000","339","339"
"312","solitary foraging","3","210","100","60000","441","441"
"317","solitary foraging","3","210","100","360000","564","564"
"320","solitary foraging","3","210","100","540000","642","642"
"322","solitary foraging","3","225","100","60000","455","455"
"325","solitary foraging","3","225","100","240000","376","376"
"324","solitary foraging","3","225","100","180000","486","486"
"327","solitary foraging","3","225","100","360000","441","441"
"323","solitary foraging","3","225","100","120000","506","506"
"326","solitary foraging","3","225","100","300000","418","418"
"328","solitary foraging","3","225","100","420000","330","330"
"332","solitary foraging","3","240","100","60000","449","449"
"333","solitary foraging","3","240","100","120000","413","413"
"337","solitary foraging","3","240","100","360000","368","368"
"330","solitary foraging","3","225","100","540000","414","414"
"339","solitary foraging","3","240","100","480000","383","383"
"334","solitary foraging","3","240","100","180000","405","405"
"336","solitary foraging","3","240","100","300000","387","387"
"335","solitary foraging","3","240","100","240000","413","413"
"329","solitary foraging","3","225","100","480000","490","490"
"331","solitary foraging","3","240","100","0","402","402"
"338","solitary foraging","3","240","100","420000","468","468"
"343","solitary foraging","3","255","100","120000","432","432"
"345","solitary foraging","3","255","100","240000","374","374"
"341","solitary foraging","3","255","100","0","442","442"
"350","solitary foraging","3","255","100","540000","251","251"
"347","solitary foraging","3","255","100","360000","404","404"
"340","solitary foraging","3","240","100","540000","590","590"
"344","solitary foraging","3","255","100","180000","454","454"
"348","solitary foraging","3","255","100","420000","454","454"
"351","solitary foraging","3","270","100","0","450","450"
"346","solitary foraging","3","255","100","300000","494","494"
"354","solitary foraging","3","270","100","180000","334","334"
"342","solitary foraging","3","255","100","60000","565","565"
"353","solitary foraging","3","270","100","120000","464","464"
"352","solitary foraging","3","270","100","60000","622","622"
"349","solitary foraging","3","255","100","480000","520","520"
"355","solitary foraging","3","270","100","240000","341","341"
"363","solitary foraging","3","285","100","120000","374","374"
"356","solitary foraging","3","270","100","300000","484","484"
"364","solitary foraging","3","285","100","180000","406","406"
"362","solitary foraging","3","285","100","60000","502","502"
"360","solitary foraging","3","270","100","540000","597","597"
"357","solitary foraging","3","270","100","360000","553","553"
"361","solitary foraging","3","285","100","0","569","569"
"358","solitary foraging","3","270","100","420000","517","517"
"365","solitary foraging","3","285","100","240000","575","575"
"369","solitary foraging","3","285","100","480000","349","349"
"359","solitary foraging","3","270","100","480000","624","624"
"368","solitary foraging","3","285","100","420000","500","500"
"366","solitary foraging","3","285","100","300000","431","431"
"372","solitary foraging","3","300","100","60000","439","439"
"374","solitary foraging","3","300","100","180000","434","434"
"373","solitary foraging","3","300","100","120000","511","511"
"371","solitary foraging","3","300","100","0","472","472"
"370","solitary foraging","3","285","100","540000","518","518"
"381","solitary foraging","5","30","100","0","237","237"
"376","solitary foraging","3","300","100","300000","614","614"
